Student_ID,Student_Name,Gender,Age,Class,Section,Maths,Science,English,Social,Computer,Total_Marks,Percentage,Grade,Attendance,City
1001,Rohit,Female,16,10,A,87,66,57,69,97,376,75.2,B,79,Hyderabad
1002,Priya,Male,15,9,C,99,71,48,51,83,352,70.4,B,82,Rajahmundry
1003,Rohit,Female,16,8,C,95,78,62,61,84,380,76.0,B,75,Guntur
1004,Anjali,Male,17,10,B,99,88,49,99,66,401,80.2,A,86,Vizag
1005,Divya,Female,17,8,A,47,54,87,67,94,349,69.8,C,92,Guntur
1006,Sai,Male,16,9,A,95,65,77,79,99,415,83.0,A,82,Vizag
1007,Rahul,Male,17,8,A,36,81,56,63,40,276,55.2,D,90,Rajahmundry
1008,Kiran,Male,18,10,C,50,62,40,51,83,286,57.2,D,88,Rajahmundry
1009,Divya,Female,18,8,A,75,36,88,82,41,322,64.4,C,98,Vijayawada
1010,Priya,Female,18,10,B,82,49,52,50,85,318,63.6,C,100,Vijayawada
1011,Priya,Male,15,9,C,64,86,91,51,85,377,75.4,B,90,Hyderabad
1012,Rahul,Female,15,9,C,49,35,85,48,88,305,61.0,C,92,Hyderabad
1013,Rahul,Female,17,9,A,90,76,89,60,40,355,71.0,B,98,Rajahmundry
1014,Arjun,Male,16,8,A,54,67,62,57,82,322,64.4,C,95,Vijayawada
1015,Aparna,Male,18,9,A,74,49,81,91,52,347,69.4,C,75,Guntur
1016,Divya,Male,15,8,C,63,89,79,70,83,384,76.8,B,100,Vizag
1017,Sai,Male,15,9,C,42,81,98,78,44,343,68.6,C,95,Hyderabad
1018,Divya,Male,18,10,A,71,60,73,95,81,380,76.0,B,94,Rajahmundry
1019,Rohit,Male,18,8,A,90,50,59,76,47,322,64.4,C,80,Guntur
1020,Sneha,Female,18,8,C,64,97,49,77,51,338,67.6,C,90,Rajahmundry
1021,Priya,Male,15,9,B,78,40,43,86,75,322,64.4,C,88,Hyderabad
1022,Sai,Male,17,10,A,38,56,96,60,69,319,63.8,C,93,Vizag
1023,Rohit,Female,18,10,A,65,70,91,74,94,394,78.8,B,80,Vizag
1024,Kiran,Male,16,9,A,91,96,67,90,67,411,82.2,A,94,Guntur
1025,Aparna,Female,15,9,C,92,72,97,35,42,338,67.6,C,81,Vijayawada
1026,Kiran,Female,15,10,B,49,56,50,62,52,269,53.8,D,81,Rajahmundry
1027,Anjali,Female,18,10,A,59,76,92,87,41,355,71.0,B,98,Vijayawada
1028,Sai,Female,18,9,B,82,38,92,89,48,349,69.8,C,80,Hyderabad
1029,Aparna,Male,17,10,A,47,96,41,52,50,286,57.2,D,80,Guntur
1030,Anjali,Male,18,9,C,45,84,41,57,57,284,56.8,D,94,Rajahmundry
1031,Aparna,Female,17,10,C,86,63,43,38,75,305,61.0,C,85,Rajahmundry
1032,Rohit,Female,15,10,B,60,93,81,78,91,403,80.6,A,76,Rajahmundry
1033,Sneha,Female,16,10,A,90,72,74,55,90,381,76.2,B,98,Hyderabad
1034,Arjun,Female,17,8,C,83,63,100,54,99,399,79.8,B,91,Vijayawada
1035,Kiran,Female,15,9,A,71,68,54,88,55,336,67.2,C,100,Rajahmundry
1036,Rohit,Female,17,9,B,52,95,84,43,52,326,65.2,C,100,Hyderabad
1037,Sneha,Male,15,10,C,81,72,74,70,61,358,71.6,B,91,Hyderabad
1038,Aparna,Male,17,9,B,37,45,81,73,59,295,59.0,D,98,Guntur
